ID;date;treatment;munic;session;dec1;dec2;dec3;dec4;minutes;sex;age;civil_status;level_educ;activity;income;income_nr;e_food;e_housing;e_transport;e_other1;e_other;frequency;frequency_otro;subsidy;subsidy_other;social_security;financial_planning;households_adults;households_kids;siblings;risk;land;land_owner;debts;trusted_person;death_shock;illness_shock;job_shock;housing_shock;farming_shock;violence_shock;naturaldisaster_shock;problems;problems_illness;problems_accident;problems_dental;problems_other
3;3/07/2021;1.descendente- fee voucher ;11.Pijao;1;v;v;v;v;3.26;1.mujer;47;1.union libre;4.tecnico;2.jornalero;780000;;100000;;120;;;3.cada 15 dias;;1.No;;2.contributivo;1.fondo de pensiones obligatorias;2;0;4;8;0.no;;1.si;0.no;0.no;0.no;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
4;3/07/2021;1.descendente- fee voucher ;11.Pijao;1;v;v;v;v;5.15;1.mujer;37;1.union libre;2.primaria;2.jornalero;400000;;1;;;;;2.cada semana ;;1.No;;1.subsidiado;3.preparando a los hijos;2;1;4;8;0.no;;0.no;0.no;0.no;1.si;0.no;0.no;0.no;1.si;0.no;1.si;0.no;1.si;1.si;0.no
5;3/07/2021;1.descendente- fee voucher ;11.Pijao;1;v;e;e;e;4.23;0.hombre;70;4.soltero;1.ninguno;3.otra;800000;;;;;;;2.cada semana ;;1.No;;3.ninguno;3.preparando a los hijos;5;1;4;10;0.no;;0.no;0.no;0.no;0.no;1.si;0.no;0.no;0.no;0.no;1.si;0.no;0.no;0.no;1.si
6;3/07/2021;1.descendente- fee voucher ;11.Pijao;1;v;v;v;v;3.47;0.hombre;60;2.casado;2.primaria;2.jornalero;650000;;;;;;;2.cada semana ;;1.No;;2.contributivo;4.nada ;2;0;3;9;0.no;;0.no;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;1.si;0.no;0.no;1.si;0.no
7;3/07/2021;1.descendente- fee voucher ;11.Pijao;1;e;e;e;e;3.47;1.mujer;57;2.casado;2.primaria;2.jornalero;400000;;;;;;;2.cada semana ;;1.No;;1.subsidiado;4.nada ;2;1;6;3;0.no;;1.si;0.no;0.no;0.no;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
8;3/07/2021;1.descendente- fee voucher ;11.Pijao;1;v;v;v;v;4.02;0.hombre;28;1.union libre;2.primaria;2.jornalero;600000;;240000;;;;;2.cada semana ;;1.No;;2.contributivo;4.nada ;2;5;3;9;0.no;;0.no;0.no;0.no;0.no;1.si;0.no;1.si;0.no;1.si;1.si;1.si;0.no;0.no;1.si
9;3/07/2021;1.descendente- fee voucher ;11.Pijao;1;v;v;v;e;5.2;1.mujer;69;4.soltero;2.primaria;3.otra;840000;;200000;;;;;4.cada mes;;3.otro;adulto mayor;1.subsidiado;3.preparando a los hijos;4;2;3;5;0.no;;0.no;0.no;0.no;1.si;1.si;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
10;3/07/2021;1.descendente- fee voucher ;11.Pijao;1;e;e;v;e;5.05;0.hombre;40;4.soltero;2.primaria;2.jornalero;500000;;;;;;;2.cada semana ;;1.No;;3.ninguno;4.nada ;1;0;10;10;0.no;;0.no;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
1;3/07/2021;2.descendente - fee efectivo ;11.Pijao;2;v;v;v;v;4.35;0.hombre;61;1.union libre;2.primaria;2.jornalero;600000;;300000;;;;;2.cada semana ;;1.No;;1.subsidiado;3.preparando a los hijos;2;1;5;8;1.si;1.si;1.si;1.si;0.no;0.no;1.si;0.no;0.no;0.no;0.no;1.si;0.no;0.no;1.si;0.no
2;3/07/2021;2.descendente - fee efectivo ;11.Pijao;2;e;e;e;e;4.38;0.hombre;68;4.soltero;2.primaria;2.jornalero;480000;;1;1;;;;2.cada semana ;;3.otro;adulto mayor;1.subsidiado;4.nada ;2;0;5;-;1.si;0.no;0.no;1.si;1.si;1.si;0.no;0.no;0.no;0.no;0.no;1.si;0.no;0.no;1.si;0.no
3;3/07/2021;2.descendente - fee efectivo ;11.Pijao;2;v;v;v;v;2.5;1.mujer;39;1.union libre;2.primaria;1.trabajador en su propia finca ;480000;;;;;;;3.cada 15 dias;;1.No;;1.subsidiado;1.fondo de pensiones obligatorias;2;0;5;2;0.no;;0.no;1.si;1.si;0.no;0.no;0.no;0.no;0.no;0.no;1.si;1.si;0.no;0.no;0.no
4;3/07/2021;2.descendente - fee efectivo ;11.Pijao;2;v;v;v;v;5.2;0.hombre;56;5.divorciado/separado;2.primaria;2.jornalero;450000;;240000;;;;;2.cada semana ;;1.No;;1.subsidiado;3.preparando a los hijos;8;0;4;3;1.si;1.si;0.no;0.no;1.si;1.si;1.si;0.no;1.si;0.no;0.no;1.si;1.si;0.no;0.no;0.no
5;3/07/2021;2.descendente - fee efectivo ;11.Pijao;2;e;e;e;e;5.08;0.hombre;21;4.soltero;2.primaria;2.jornalero;500000;;200000;;;;;2.cada semana ;;1.No;;1.subsidiado;4.nada ;2;0;1;8;0.no;;1.si;1.si;0.no;1.si;1.si;0.no;0.no;1.si;0.no;1.si;0.no;0.no;0.no;1.si
6;3/07/2021;2.descendente - fee efectivo ;11.Pijao;2;v;v;e;e;4.54;0.hombre;82;5.divorciado/separado;2.primaria;2.jornalero;400000;;;;;;;1.diariamente;;3.otro;adulto mayor;3.ninguno;4.nada ;3;0;2;2;1.si;1.si;0.no;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
7;3/07/2021;2.descendente - fee efectivo ;11.Pijao;2;e;e;e;e;5.51;0.hombre;39;4.soltero;3.bachillerato;3.otra;1190000;;;;;;;4.cada mes;;1.No;;1.subsidiado;4.nada ;2;6;6;2;0.no;;0.no;99.No registra;0.no;0.no;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
8;3/07/2021;2.descendente - fee efectivo ;11.Pijao;2;v;e;e;v;3.57;1.mujer;22;1.union libre;2.primaria;2.jornalero;660000;;;;;;;3.cada 15 dias;;2.Si, FeA;;1.subsidiado;4.nada ;2;2;1;2;0.no;1.si;0.no;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
9;3/07/2021;2.descendente - fee efectivo ;11.Pijao;2;v;v;v;v;4.45;0.hombre;59;1.union libre;1.ninguno;2.jornalero;400000;;240000;;;;;2.cada semana ;;1.No;;1.subsidiado;4.nada ;1;0;1;5;0.no;;0.no;0.no;0.no;1.si;0.no;0.no;0.no;1.si;0.no;1.si;1.si;0.no;1.si;0.no
10;3/07/2021;2.descendente - fee efectivo ;11.Pijao;2;v;v;v;v;5.13;0.hombre;86;4.soltero;2.primaria;1.trabajador en su propia finca ;400000;;;;;;;4.cada mes;;3.otro;Adulto Mayor;1.subsidiado;4.nada ;1;0;5;2;1.si;1.si;0.no;1.si;0.no;0.no;0.no;0.no;0.no;0.no;1.si;0.no;0.no;0.no;0.no;0.no
1;3/07/2021;4.ascendente - fee efectivo;12.Génova;1;e;v;e;v;4.57;1.mujer;24;2.casado;4.tecnico;1.trabajador en su propia finca ;200000;;;;;;;2.cada semana ;;1.No;;1.subsidiado;4.nada ;4;3;3;8;0.no;;0.no;0.no;0.no;0.no;0.no;0.no;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no
2;3/07/2021;4.ascendente - fee efectivo;12.Génova;1;v;v;v;v;5.38;0.hombre;55;1.union libre;4.tecnico;1.trabajador en su propia finca ;600000;;;;;;;4.cada mes;;1.No;;1.subsidiado;1.fondo de pensiones obligatorias;2;0;9;10;1.si;1.si;0.no;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;1.si;0.no;1.si;0.no;0.no
3;3/07/2021;4.ascendente - fee efectivo;12.Génova;1;e;e;v;v;4.4;1.mujer;38;2.casado;3.bachillerato;2.jornalero;1300000;;;;;;;4.cada mes;;2.Si, FeA;;1.subsidiado;4.nada ;3;2;7;1;1.si;1.si;1.si;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;1.si;1.si;0.no;0.no;0.no
4;3/07/2021;4.ascendente - fee efectivo;12.Génova;1;e;e;e;e;3.32;0.hombre;47;1.union libre;1.ninguno;1.trabajador en su propia finca ;500000;;;;;;;4.cada mes;;1.No;;1.subsidiado;4.nada ;3;0;12;6;1.si;1.si;1.si;1.si;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
5;3/07/2021;4.ascendente - fee efectivo;12.Génova;1;e;e;e;e;4.52;0.hombre;35;1.union libre;2.primaria;1.trabajador en su propia finca ;908000;;;;;;;3.cada 15 dias;;1.No;;1.subsidiado;3.preparando a los hijos;2;3;2;10;1.si;1.si;0.no;1.si;0.no;0.no;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
6;3/07/2021;4.ascendente - fee efectivo;12.Génova;1;e;e;e;v;8.23;1.mujer;26;5.divorciado/separado;4.tecnico;3.otra;160000;;;;;;;4.cada mes;;1.No;;1.subsidiado;4.nada ;5;1;5;10;0.no;;1.si;1.si;0.no;1.si;0.no;0.no;0.no;0.no;0.no;1.si;1.si;0.no;0.no;0.no
7;3/07/2021;4.ascendente - fee efectivo;12.Génova;1;e;e;e;e;6.08;1.mujer;65;2.casado;1.ninguno;2.jornalero;;1;1;1;;;;3.cada 15 dias;;1.No;;1.subsidiado;3.preparando a los hijos;4;0;3;5;1.si;0.no;1.si;1.si;0.no;1.si;0.no;0.no;0.no;0.no;0.no;1.si;1.si;0.no;0.no;0.no
8;3/07/2021;4.ascendente - fee efectivo;12.Génova;1;v;v;v;v;4.48;0.hombre;30;4.soltero;3.bachillerato;1.trabajador en su propia finca ;800000;;;;;;;2.cada semana ;;1.No;;1.subsidiado;5.otro;2;0;2;8;1.si;0.no;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;1.si;1.si;0.no;0.no;0.no
9;3/07/2021;4.ascendente - fee efectivo;12.Génova;1;e;e;e;v;5.1;0.hombre;41;2.casado;4.tecnico;1.trabajador en su propia finca ;1200000;;;;;;;2.cada semana ;;1.No;;1.subsidiado;5.otro;2;1;7;8;1.si;1.si;1.si;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
10;3/07/2021;4.ascendente - fee efectivo;12.Génova;1;e;e;v;e;6.5;1.mujer;70;2.casado;2.primaria;3.otra;150000;;;;;plátano;1;1.diariamente;cada que vende;3.otro;Adulto Mayor;1.subsidiado;4.nada ;3;0;9;6;0.no;;0.no;1.si;1.si;0.no;0.no;0.no;1.si;0.no;0.no;1.si;0.no;1.si;0.no;0.no
1;3/07/2021;3.ascendente - fee voucher ;12.Génova;2;e;v;v;v;5.12;0.hombre;53;2.casado;2.primaria;1.trabajador en su propia finca ;600000;;;;;;;4.cada mes;;1.No;;1.subsidiado;4.nada ;2;1;7;5;1.si;1.si;1.si;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
2;3/07/2021;3.ascendente - fee voucher ;12.Génova;2;e;e;e;e;3.43;0.hombre;20;4.soltero;3.bachillerato;2.jornalero;400000;;;;;;;4.cada mes;;1.No;;3.ninguno;4.nada ;3;1;11;9;1.si;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;1.si;0.no;1.si;1.si;0.no;0.no;0.no
3;3/07/2021;3.ascendente - fee voucher ;12.Génova;2;e;e;v;v;2.43;1.mujer;53;2.casado;3.bachillerato;1.trabajador en su propia finca ;500000;;;;;;;4.cada mes;;1.No;;1.subsidiado;4.nada ;3;0;10;6;1.si;1.si;0.no;1.si;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
4;3/07/2021;3.ascendente - fee voucher ;12.Génova;2;e;e;v;v;3;0.hombre;54;4.soltero;3.bachillerato;2.jornalero;500000;;;;;;;4.cada mes;;2.Si, FeA;;1.subsidiado;1.fondo de pensiones obligatorias;3;0;7;5;1.si;1.si;0.no;1.si;0.no;1.si;0.no;0.no;0.no;0.no;0.no;1.si;1.si;0.no;0.no;0.no
5;3/07/2021;3.ascendente - fee voucher ;12.Génova;2;v;v;v;v;3.53;0.hombre;61;2.casado;2.primaria;1.trabajador en su propia finca ;300000;;;;;;;4.cada mes;;3.otro;ingreso soidario;1.subsidiado;3.preparando a los hijos;2;0;9;9;1.si;1.si;1.si;1.si;0.no;1.si;0.no;0.no;0.no;0.no;0.no;1.si;1.si;0.no;0.no;0.no
6;3/07/2021;3.ascendente - fee voucher ;12.Génova;2;e;e;e;e;3.34;0.hombre;28;4.soltero;3.bachillerato;2.jornalero;500000;;;;;;;2.cada semana ;;1.No;;3.ninguno;4.nada ;4;4;11;10;0.no;;1.si;1.si;0.no;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
7;3/07/2021;3.ascendente - fee voucher ;12.Génova;2;e;v;v;v;4.22;1.mujer;52;2.casado;4.tecnico;1.trabajador en su propia finca ;700000;;;;;;;4.cada mes;;1.No;;1.subsidiado;4.nada ;2;0;3;8;1.si;1.si;1.si;99.No registra;0.no;0.no;0.no;0.no;0.no;0.no;1.si;1.si;1.si;0.no;0.no;0.no
8;3/07/2021;3.ascendente - fee voucher ;12.Génova;2;e;e;e;e;4.5;0.hombre;41;4.soltero;3.bachillerato;1.trabajador en su propia finca ;500000;;;;;;;3.cada 15 dias;;1.No;;1.subsidiado;4.nada ;4;2;4;3;1.si;1.si;0.no;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
9;3/07/2021;3.ascendente - fee voucher ;12.Génova;2;e;e;e;e;3.35;0.hombre;32;1.union libre;3.bachillerato;3.otra;1000000;;;;;;;4.cada mes;;1.No;;2.contributivo;1.fondo de pensiones obligatorias;2;1;12;3;0.no;;0.no;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;1.si;1.si;0.no;0.no;0.no
10;3/07/2021;3.ascendente - fee voucher ;12.Génova;2;e;e;e;e;4.02;1.mujer;54;2.casado;3.bachillerato;1.trabajador en su propia finca ;1800000;;;;;;;5.otro;2 meses;1.No;;1.subsidiado;2.fondo de pensiones voluntarias;3;0;5;6;1.si;1.si;1.si;1.si;1.si;1.si;0.no;0.no;1.si;0.no;0.no;1.si;1.si;0.no;0.no;0.no
1;10/07/2021;2.descendente - fee efectivo ;2.Filandia;1;v;v;e;e;4.32;1.mujer;43;4.soltero;5.universitario;3.otra;;1;;;;;;4.cada mes;;1.No;;2.contributivo;1.fondo de pensiones obligatorias;3;1;0;6;1.si;1.si;1.si;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;1.si;1.si;0.no;0.no;0.no
2;10/07/2021;2.descendente - fee efectivo ;2.Filandia;1;e;e;e;e;4.21;0.hombre;52;5.divorciado/separado;3.bachillerato;3.otra;1000000;;;;;;;2.cada semana ;;1.No;;1.subsidiado;2.fondo de pensiones voluntarias;2;0;7;7;1.si;1.si;1.si;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
3;10/07/2021;2.descendente - fee efectivo ;2.Filandia;1;v;v;e;e;4.58;1.mujer;42;1.union libre;3.bachillerato;1.trabajador en su propia finca ;1500000;;;;;;;2.cada semana ;;1.No;;2.contributivo;3.preparando a los hijos;3;1;4;8;1.si;0.no;0.no;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;1.si;0.no;0.no;0.no;1.si
4;10/07/2021;2.descendente - fee efectivo ;2.Filandia;1;e;v;v;e;5.1;1.mujer;72;5.divorciado/separado;4.tecnico;3.otra;908000;;;;;;;4.cada mes;;1.No;;2.contributivo;2.fondo de pensiones voluntarias;3;1;5;8;0.no;;0.no;1.si;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
5;10/07/2021;2.descendente - fee efectivo ;2.Filandia;1;v;v;e;e;4.27;1.mujer;41;4.soltero;4.tecnico;3.otra;1800000;;;;;;;4.cada mes;;1.No;;2.contributivo;2.fondo de pensiones voluntarias;2;1;0;9;0.no;;0.no;1.si;0.no;1.si;0.no;0.no;0.no;0.no;0.no;1.si;1.si;0.no;0.no;0.no
6;10/07/2021;2.descendente - fee efectivo ;2.Filandia;1;v;v;v;v;5.28;1.mujer;48;4.soltero;4.tecnico;1.trabajador en su propia finca ;1000000;;;;;;;3.cada 15 días;;1.No;;2.contributivo;2.fondo de pensiones voluntarias;2;0;2;10;1.si;0.no;1.si;1.si;0.no;1.si;0.no;0.no;1.si;1.si;0.no;1.si;1.si;0.no;0.no;0.no
7;10/07/2021;2.descendente - fee efectivo ;2.Filandia;1;v;v;v;v;4.32;0.hombre;50;1.union libre;2.primaria;1.trabajador en su propia finca ;1000000;;;;;;;4.cada mes;;1.No;;2.contributivo;4.nada ;3;1;6;5;1.si;1.si;0.no;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
8;10/07/2021;2.descendente - fee efectivo ;2.Filandia;1;v;v;e;e;5.38;0.hombre;30;1.union libre;5.universitario;3.otra;1900000;;;;;;;4.cada mes;;1.No;;2.contributivo;1.fondo de pensiones obligatorias;5;1;2;8;1.si;1.si;1.si;1.si;0.no;1.si;0.no;0.no;0.no;0.no;0.no;1.si;0.no;0.no;1.si;0.no
9;10/07/2021;2.descendente - fee efectivo ;2.Filandia;1;v;v;v;e;5.29;1.mujer;56;2.casado;5.universitario;1.trabajador en su propia finca ;2000000;;;;;;;4.cada mes;;1.No;;2.contributivo;1.fondo de pensiones obligatorias;3;1;4;6;1.si;1.si;1.si;1.si;0.no;0.no;1.si;0.no;0.no;0.no;0.no;1.si;0.no;1.si;0.no;0.no
2;10/07/2021;1.descendente- fee voucher ;2.Filandia;2;v;v;v;v;4.4;1.mujer;42;1.union libre;3.bachillerato;3.otra;1000000;;;;;;;4.cada mes;;1.No;;3.ninguno;1.fondo de pensiones obligatorias;6;1;6;6;1.si;1.si;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
3;10/07/2021;1.descendente- fee voucher ;2.Filandia;2;v;v;v;v;4.21;0.hombre;50;1.union libre;4.tecnico;3.otra;1000000;;;;;;;4.cada mes;;1.No;;2.contributivo;1.fondo de pensiones obligatorias;2;0;6;8;1.si;1.si;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;1.si;0.no;0.no;0.no;1.si
4;10/07/2021;1.descendente- fee voucher ;2.Filandia;2;e;v;e;e;5.18;0.hombre;75;2.casado;2.primaria;1.trabajador en su propia finca ;400000;;;;;;;4.cada mes;;1.No;;3.ninguno;4.nada ;2;0;7;5;1.si;1.si;0.no;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
5;10/07/2021;1.descendente- fee voucher ;2.Filandia;2;v;v;v;v;3.48;0.hombre;49;1.union libre;3.bachillerato;2.jornalero;850000;;;;;;;4.cada mes;;1.No;;2.contributivo;2.fondo de pensiones voluntarias;3;2;3;8;0.no;;0.no;1.si;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no;0.no
